set_id,item_triplet,brand_triplet,n_items,n_unique_items,n_unique_brands
r2_main_00608,https://medipeel.co.kr/product/detail.html?product_no=2834&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3240&cate_no=499&display_group=1 | https://www.dr-g.co.kr/item/4359?pc=4&cc=14,닥터지 | 메디필 | 메디필,3,3,2
r2_main_00698,https://eunyul.co.kr/product/%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EC%BC%80%EC%96%B4-%EC%95%84%ED%81%AC%EB%84%A4-%EB%B2%84%EB%B8%94-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80-500ml/130/category/45/display/1/ | https://medipeel.co.kr/product/detail.html?product_no=3409&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3868&cate_no=499&display_group=1,메디필 | 메디필 | 은율,3,3,2
r2_main_00706,https://medipeel.co.kr/product/detail.html?product_no=3240&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3916&cate_no=728&display_group=1 | https://stridex.co.kr/37/?idx=191,메디필 | 메디필 | 스트라이덱스,3,3,2
r2_main_00737,https://anua.kr/product/detail.html?product_no=214 | https://anua.kr/product/detail.html?product_no=252 | https://m.maxclinic.com/product/detail.html?product_no=1548&cate_no=180&display_group=1,맥스클리닉 | 아누아 | 아누아,3,3,2
r2_main_00738,https://mixsoon.co.kr/product/detail.html?product_no=282&cate_no=106&display_group=1 | https://mixsoon.co.kr/product/detail.html?product_no=338&cate_no=106&display_group=1 | https://whataskin.co.kr/product/%ED%93%A8%EC%96%B4%EB%AF%B8-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-500ml/10/category/29/display/1/,믹순 | 믹순 | 와더스킨,3,3,2
r2_main_00771,https://anua.kr/product/detail.html?product_no=214 | https://anua.kr/product/detail.html?product_no=252 | https://imfrom.co.kr/product/%ED%94%BC%EA%B7%B8-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A0%80/204/category/175/display/1/,아누아 | 아누아 | 아임프롬,3,3,2
r2_main_00790,https://lagom.kr/product/detail.html?product_no=326&cate_no=86&display_group=1 | https://lagom.kr/product/detail.html?product_no=327&cate_no=86&display_group=1 | https://skin1004korea.com/product/%EB%A7%88%EB%8B%A4%EA%B0%80%EC%8A%A4%EC%B9%B4%EB%A5%B4-%EC%84%BC%E,라곰 | 라곰 | 스킨1004,3,3,2
r2_main_00791,https://banila.com/product/detail.html?product_no=676&cate_no=214&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3301&cate_no=728&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3917&cate_no=728&display_group=1,메디필 | 메디필 | 바닐라코,3,3,2
r2_main_00796,https://brmudkorea.com/product/detail.html?product_no=13&cate_no=90&display_group=1 | https://themedicube.co.kr/product/detail.html?product_no=2304&cate_no=44&display_group=1 | https://themedicube.co.kr/product/detail.html?product_no=356&cate_no=44&display_group=1,메디큐브 | 메디큐브 | 비알머드,3,3,2
r2_main_00808,https://aprilskin.com/product/detail.html?product_no=957 | https://thewhoo.com/product/detail.html?product_no=713 | https://thewhoo.com/product/detail.html?product_no=88,더후 | 더후 | 에이프릴스킨,3,3,2
